Config,DataFile,Strategy,StrategyLabel,RunID,Seed,K,N2Raw,Users,Candidates,InitialCost,FinalCost,ImprovementPct,Iterations,InitialCoverage,FinalCoverage,InitialSolution,FinalSolution,FinalGapPct,JaccardToBest
10_130,data/input_data_10_130_8_new.xlsx,random,Random,33,75,10,11,130,20,9408.035528091292,2576.2656667390575,72.61632719129695,6,0.8076923076923077,0.9384615384615385,1 8 10 11 12 13 14 16 18 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,34,76,10,11,130,20,12693.708864562986,2576.2656667390575,79.70438983415467,17,0.7538461538461538,0.9384615384615385,0 3 4 6 9 11 12 14 16 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,35,77,10,11,130,20,8511.62640171515,2576.2656667390575,69.73239255167587,7,0.8384615384615385,0.9384615384615385,1 4 6 7 8 10 13 16 17 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,36,78,10,11,130,20,16064.020116926255,2576.2656667390575,83.96250970811154,14,0.7384615384615385,0.9384615384615385,0 2 3 6 8 9 10 12 13 14,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,37,79,10,11,130,20,8390.368778563778,2576.2656667390575,69.29496503990318,12,0.823076923076923,0.9384615384615385,2 3 4 5 7 11 13 14 15 17,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,38,80,10,11,130,20,13191.424577864935,2576.2656667390575,80.47014822749315,12,0.7307692307692307,0.9384615384615385,0 5 6 8 11 12 13 14 17 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,39,81,10,11,130,20,6630.598543509005,2576.2656667390575,61.145805317061736,7,0.8538461538461538,0.9384615384615385,0 2 7 10 12 13 14 15 16 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,40,82,10,11,130,20,20600.1067676934,2576.2656667390575,87.49392080443317,12,0.6538461538461539,0.9384615384615385,2 4 5 9 10 12 13 15 16 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,41,83,10,11,130,20,9405.514420945769,2576.2656667390575,72.60898711715545,10,0.8076923076923077,0.9384615384615385,0 2 3 4 10 11 12 14 15 18,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,42,84,10,11,130,20,14176.95618049613,2907.7372835342862,79.4896926638273,9,0.7384615384615385,0.9307692307692308,0 1 3 7 8 9 10 12 13 15,4 7 8 9 12 13 15 16 17 18,12.866360060404539,0.3333333333333333
