DataFile,K,Users,Strategy,Runs,MeanFinalCost,StdFinalCost,BestObservedFinalCost,MeanGapPct,MinFinalCost,MaxFinalCost
input_data_10_200_8_new.xlsx,10,200,density_diverse,1,5595.505047535166,0.0,5595.505047535166,0.0,5595.505047535166,5595.505047535166
input_data_10_210_16.xlsx,10,210,random,50,6137.10301252333,614.4759701155666,5898.794415832649,4.039954266774398,5898.794415832649,8441.938778733635
input_data_10_210_16.xlsx,10,210,density_topk,1,5898.794415832649,0.0,5898.794415832649,0.0,5898.794415832649,5898.794415832649
input_data_10_210_16.xlsx,10,210,distance_sum,1,5898.794415832649,0.0,5898.794415832649,0.0,5898.794415832649,5898.794415832649
input_data_10_210_16.xlsx,10,210,greedy_marginal,1,5898.794415832649,0.0,5898.794415832649,0.0,5898.794415832649,5898.794415832649
input_data_10_210_16.xlsx,10,210,density_diverse,1,5898.794415832649,0.0,5898.794415832649,0.0,5898.794415832649,5898.794415832649
input_data_10_210_8.xlsx,10,210,random,50,6137.10301252333,614.4759701155666,5898.794415832649,4.039954266774398,5898.794415832649,8441.938778733635
input_data_10_210_8.xlsx,10,210,density_topk,1,5898.794415832649,0.0,5898.794415832649,0.0,5898.794415832649,5898.794415832649
input_data_10_210_8.xlsx,10,210,distance_sum,1,5898.794415832649,0.0,5898.794415832649,0.0,5898.794415832649,5898.794415832649
input_data_10_210_8.xlsx,10,210,greedy_marginal,1,5898.794415832649,0.0,5898.794415832649,0.0,5898.794415832649,5898.794415832649
input_data_10_210_8.xlsx,10,210,density_diverse,1,5898.794415832649,0.0,5898.794415832649,0.0,5898.794415832649,5898.794415832649
input_data_10_300_8.xlsx,10,300,random,50,19229.19404097774,259.4720394648176,19069.011060304725,0.840017241410404,19069.011060304725,19641.09313413693
input_data_10_300_8.xlsx,10,300,density_topk,1,19069.011060304725,0.0,19069.011060304725,0.0,19069.011060304725,19069.011060304725
input_data_10_300_8.xlsx,10,300,distance_sum,1,19069.011060304725,0.0,19069.011060304725,0.0,19069.011060304725,19069.011060304725
input_data_10_300_8.xlsx,10,300,greedy_marginal,1,19069.011060304725,0.0,19069.011060304725,0.0,19069.011060304725,19069.011060304725
input_data_10_300_8.xlsx,10,300,density_diverse,1,19069.011060304725,0.0,19069.011060304725,0.0,19069.011060304725,19069.011060304725
input_data_15_130_8_new.xlsx,15,130,random,50,335.92905275449715,5.742052420329235e-14,335.9290527544971,1.6921257150791955e-14,335.9290527544971,335.9290527544971
input_data_15_130_8_new.xlsx,15,130,density_topk,1,335.9290527544971,0.0,335.9290527544971,0.0,335.9290527544971,335.9290527544971
input_data_15_130_8_new.xlsx,15,130,distance_sum,1,335.9290527544971,0.0,335.9290527544971,0.0,335.9290527544971,335.9290527544971
input_data_15_130_8_new.xlsx,15,130,greedy_marginal,1,335.9290527544971,0.0,335.9290527544971,0.0,335.9290527544971,335.9290527544971
input_data_15_130_8_new.xlsx,15,130,density_diverse,1,335.9290527544971,0.0,335.9290527544971,0.0,335.9290527544971,335.9290527544971
input_data_20_100_8_new.xlsx,20,100,random,50,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_100_8_new.xlsx,20,100,density_topk,1,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_100_8_new.xlsx,20,100,distance_sum,1,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_100_8_new.xlsx,20,100,greedy_marginal,1,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_100_8_new.xlsx,20,100,density_diverse,1,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_130_8_new.xlsx,20,130,random,50,0.0,0.0,0.0,0.0,0.0,0.0
input_data_20_130_8_new.xlsx,20,130,density_topk,1,0.0,0.0,0.0,0.0,0.0,0.0
input_data_20_130_8_new.xlsx,20,130,distance_sum,1,0.0,0.0,0.0,0.0,0.0,0.0
input_data_20_130_8_new.xlsx,20,130,greedy_marginal,1,0.0,0.0,0.0,0.0,0.0,0.0
input_data_20_130_8_new.xlsx,20,130,density_diverse,1,0.0,0.0,0.0,0.0,0.0,0.0
input_data_20_150_8_new.xlsx,20,150,random,50,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_150_8_new.xlsx,20,150,density_topk,1,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_150_8_new.xlsx,20,150,distance_sum,1,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
