Config,Varpi,VarpiLabel,Seed,HV,IGD,Spacing,BestQ,BestFrontQ,ParetoCount,SolutionCount,BestCostNorm,BestDelayNorm,RawBestCost,RawBestDelay,NpzPath
15_130,4,Vj=4,42,0.9995102974853824,0.03658790441917513,0.004875449488859147,0.26818410596160447,0.26818410596160447,50,50,0.03787554741716213,0.02233021453148848,1197.1125828891209,116.99433086897157,output/npz/res_hybrid_anchor_varpi4_15_130_seed42.npz
15_130,4,Vj=4,43,0.9661373454634633,0.05162928641333426,0.005156055851333657,0.28019641647668636,0.28019641647668636,50,50,0.04012460939937742,0.06607917247459502,1202.6560022542596,132.01158967835275,output/npz/res_hybrid_anchor_varpi4_15_130_seed43.npz
15_130,4,Vj=4,44,0.9611755017736111,0.04293466835449601,0.007313431334510128,0.27997310506629003,0.27997310506629003,50,50,0.05099097595285271,0.043888809948788014,1229.4390910519721,124.39453014616005,output/npz/res_hybrid_anchor_varpi4_15_130_seed44.npz
20_130,1,1,42,0.9364470730629242,0.03460395677288521,0.006705753183939989,0.2793296590635452,0.2793296590635452,50,50,0.10108763891800625,0.04157201458318991,1554.042012146845,92.96765030101075,output/npz/res_hybrid_anchor_varpi1_20_130_seed42.npz
20_130,1,1,43,0.9672775031116307,0.02387246392992764,0.00675549274704232,0.28108541800913156,0.28108541800913156,50,50,0.06351861092235202,0.020786443024813,1447.9100626034483,87.17335416477597,output/npz/res_hybrid_anchor_varpi1_20_130_seed43.npz
20_130,1,1,44,0.9505890771738426,0.029581741749376972,0.006532281870192993,0.29888912662077594,0.29888912662077594,50,50,0.0669647192335526,0.02098058394310317,1457.6452677156947,87.22747391652658,output/npz/res_hybrid_anchor_varpi1_20_130_seed44.npz
20_130,2,2,42,0.9610833534451417,0.026891740854026392,0.007729181947045298,0.2907245739725132,0.2907245739725132,50,50,0.0,0.048998409859443884,1268.470924325569,95.03787162422515,output/npz/res_hybrid_anchor_varpi2_20_130_seed42.npz
20_130,2,2,43,0.9346271245675566,0.0394403233396107,0.010336419427996242,0.29392253226341486,0.29392253226341486,50,50,0.08955276939757247,0.034126650298327524,1521.4561760141148,90.89214107637977,output/npz/res_hybrid_anchor_varpi2_20_130_seed43.npz
20_130,2,2,44,0.9962942784819243,0.010718433663918269,0.007977879466793056,0.2708476852438698,0.2708476852438698,50,50,0.0028106515714435283,0.015855207141307143,1276.410973527774,85.79869670364184,output/npz/res_hybrid_anchor_varpi2_20_130_seed44.npz
20_130,3,3,42,0.9436402201006169,0.03262099904399301,0.008323312849228246,0.2953367210467005,0.2953367210467005,50,50,0.06025706936790265,0.03217721826462842,1438.6962558546936,90.34870706644692,output/npz/res_hybrid_anchor_varpi3_20_130_seed42.npz
20_130,3,3,43,0.9089819124744056,0.05138321701423306,0.007863670350157297,0.29403892353699923,0.29403892353699923,50,50,0.10639023461730977,0.05068532396389707,1569.0217667274696,95.50812474428687,output/npz/res_hybrid_anchor_varpi3_20_130_seed43.npz
20_130,3,3,44,0.9677822339053808,0.018393860831592022,0.007785056404809416,0.27750917081888904,0.27750917081888904,50,50,0.081681064360062,0.0,1499.2187254748515,81.37881509393681,output/npz/res_hybrid_anchor_varpi3_20_130_seed44.npz
20_130,4,Vj=4,42,0.9629687064934804,0.020820500404444477,0.007569984054441457,0.2860463993436824,0.2860463993436824,50,50,0.061618774837671135,0.010937017523898692,1442.5430537070936,84.42767608881853,output/npz/res_hybrid_anchor_varpi4_20_130_seed42.npz
20_130,4,Vj=4,43,0.9389680601711844,0.03697328124635824,0.008003399207597963,0.29648159075776137,0.29648159075776137,50,50,0.0693201724819147,0.02116319407138056,1464.2993883742306,87.27837928411502,output/npz/res_hybrid_anchor_varpi4_20_130_seed43.npz
20_130,4,Vj=4,44,0.9289526720352208,0.040641521773239354,0.006955802220501412,0.28954570642916155,0.28954570642916155,50,50,0.07137701302577748,0.06275906428183256,1470.1099325502819,98.87386461233112,output/npz/res_hybrid_anchor_varpi4_20_130_seed44.npz
